,weight_2022,citax_2022,calc_grossinc_2022,weight_ref_2022,citax_ref_2022,calc_grossinc_ref_2022,weight_ref_2023,citax_ref_2023,calc_grossinc_ref_2023,weight_ref_2024,citax_ref_2024,calc_grossinc_ref_2024,weight_ref_2025,citax_ref_2025,calc_grossinc_ref_2025,weight_ref_2026,citax_ref_2026,calc_grossinc_ref_2026,weight_ref_2027,citax_ref_2027,calc_grossinc_ref_2027,weight_ref_2028,citax_ref_2028,calc_grossinc_ref_2028,ETR,ETR_ref
0,375.0000,0.0000,"-108,712,156.0000",375.0000,0.0000,"-108,712,156.0000",375.0000,0.0000,"-114,147,764.0000",375.0000,0.0000,"-119,855,152.0000",375.0000,0.0000,"-125,847,910.0000",375.0000,0.0000,"-132,140,305.0000",375.0000,0.0000,"-138,747,320.0000",375.0000,0.0000,"-145,684,686.0000",-0.0000,-0.0000
1,375.0000,0.0000,"-12,557,950.0000",375.0000,0.0000,"-12,557,950.0000",375.0000,0.0000,"-13,185,848.0000",375.0000,0.0000,"-13,845,140.0000",375.0000,0.0000,"-14,537,397.0000",375.0000,0.0000,"-15,264,267.0000",375.0000,0.0000,"-16,027,480.0000",375.0000,0.0000,"-16,828,854.0000",-0.0000,-0.0000
2,375.0000,0.0000,"-6,376,717.0000",375.0000,0.0000,"-6,376,717.0000",375.0000,0.0000,"-6,695,553.0000",375.0000,0.0000,"-7,030,330.0000",375.0000,0.0000,"-7,381,847.0000",375.0000,0.0000,"-7,750,939.0000",375.0000,0.0000,"-8,138,486.0000",375.0000,0.0000,"-8,545,411.0000",-0.0000,-0.0000
3,376.0000,0.0000,"-3,737,839.0000",376.0000,0.0000,"-3,737,839.0000",376.0000,0.0000,"-3,924,731.0000",376.0000,0.0000,"-4,120,968.0000",376.0000,0.0000,"-4,327,016.0000",376.0000,0.0000,"-4,543,367.0000",376.0000,0.0000,"-4,770,535.0000",376.0000,0.0000,"-5,009,062.0000",-0.0000,-0.0000
4,375.0000,0.0000,"-2,323,243.0000",375.0000,0.0000,"-2,323,243.0000",375.0000,0.0000,"-2,439,405.0000",375.0000,0.0000,"-2,561,375.0000",375.0000,0.0000,"-2,689,444.0000",375.0000,0.0000,"-2,823,916.0000",375.0000,0.0000,"-2,965,112.0000",375.0000,0.0000,"-3,113,367.0000",-0.0000,-0.0000
5,375.0000,0.0000,"-1,373,441.0000",375.0000,0.0000,"-1,373,441.0000",375.0000,0.0000,"-1,442,113.0000",375.0000,0.0000,"-1,514,219.0000",375.0000,0.0000,"-1,589,930.0000",375.0000,0.0000,"-1,669,426.0000",375.0000,0.0000,"-1,752,897.0000",375.0000,0.0000,"-1,840,542.0000",-0.0000,-0.0000
6,375.0000,0.0000,"-722,412.0000",375.0000,0.0000,"-722,412.0000",375.0000,0.0000,"-758,533.0000",375.0000,0.0000,"-796,459.0000",375.0000,0.0000,"-836,282.0000",375.0000,0.0000,"-878,096.0000",375.0000,0.0000,"-922,001.0000",375.0000,0.0000,"-968,101.0000",-0.0000,-0.0000
7,376.0000,0.0000,"-254,449.0000",376.0000,0.0000,"-254,449.0000",376.0000,0.0000,"-267,171.0000",376.0000,0.0000,"-280,530.0000",376.0000,0.0000,"-294,557.0000",376.0000,0.0000,"-309,284.0000",376.0000,0.0000,"-324,749.0000",376.0000,0.0000,"-340,986.0000",-0.0000,-0.0000
8,375.0000,0.0000,"-16,980.0000",375.0000,0.0000,"-16,980.0000",375.0000,0.0000,"-17,829.0000",375.0000,0.0000,"-18,721.0000",375.0000,0.0000,"-19,657.0000",375.0000,0.0000,"-20,640.0000",375.0000,0.0000,"-21,672.0000",375.0000,0.0000,"-22,755.0000",-0.0000,-0.0000
9,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
10,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
11,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
12,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
13,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
14,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
15,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
16,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
17,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
18,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
19,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
20,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
21,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
22,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
23,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
24,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
25,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
26,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
27,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
28,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
29,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
30,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
31,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
32,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
33,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
34,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
35,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
36,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
37,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
38,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
39,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
40,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
41,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
42,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
43,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
44,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
45,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
46,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
47,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
48,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
49,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
50,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
51,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
52,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
53,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
54,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
55,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
56,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
57,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
58,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
59,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,376.0000,0.0000,0.0000,nan,nan
60,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,375.0000,0.0000,0.0000,nan,nan
